gene,logFC,logCPM,LR,PValue,FDR
ENSG00000252870.1,-3.200445474,-4.99140684,3.853380955,0.04964582,0.995853392
ENSG00000232460.4,-1.066713165,-3.444866397,4.120112702,0.042376255,0.995853392
ENSG00000109943.9,-3.528186561,-4.903933651,4.902409885,0.026819244,0.995853392
ENSG00000254737.3,-1.436940148,-3.14484695,6.482455142,0.01089444,0.995853392
ENSG00000255425.6,-2.862045601,-4.38592969,6.948859538,0.008387269,0.995853392
ENSG00000254932.2,-3.512152107,-4.905928151,4.864238819,0.027418892,0.995853392
ENSG00000283703.3,-3.826628672,-4.814765195,6.590280006,0.010253704,0.995853392
ENSG00000281097.1,-3.781431646,-4.820664387,5.271575156,0.02167639,0.995853392
ENSG00000254481.1,-3.502043957,-4.907244232,4.839812279,0.027809922,0.995853392
ENSG00000254016.3,-1.499551053,-3.323384219,6.489425092,0.010851807,0.995853392
ENSG00000215241.4,-1.00885037,-2.039178151,9.223031932,0.002389894,0.995853392
ENSG00000286895.1,-0.961240679,-1.889324777,6.745354757,0.009399208,0.995853392
ENSG00000256188.3,-3.50789013,-4.906567702,4.853131048,0.027595996,0.995853392
ENSG00000179256.2,-4.066681015,-4.735182561,7.867110016,0.005034205,0.995853392
ENSG00000248100.2,-3.502043957,-4.907244232,4.839812279,0.027809922,0.995853392
ENSG00000187950.9,-3.481921499,-4.909873778,4.791532321,0.028599973,0.995853392
ENSG00000256987.1,-3.502043957,-4.907244232,4.839812279,0.027809922,0.995853392
ENSG00000287386.1,-3.587234846,-4.896614541,5.04585757,0.024684886,0.995853392
ENSG00000270429.1,-2.209640746,-4.266219992,5.596662432,0.017994727,0.995853392
ENSG00000258101.2,-0.89434003,-2.103961995,5.638051712,0.017574726,0.995853392
ENSG00000257605.4,-1.303694703,-2.961368562,5.102657717,0.023889213,0.995853392
ENSG00000282977.1,-2.235775447,-3.954029233,8.896942513,0.002856486,0.995853392
ENSG00000213352.3,-1.86319706,-3.906419632,7.351930941,0.006699077,0.995853392
ENSG00000177990.12,-0.660899412,-0.517321245,6.520551334,0.010663494,0.995853392
ENSG00000256670.1,-3.50789013,-4.906567702,4.853131048,0.027595996,0.995853392
ENSG00000256075.1,-4.065069887,-4.737150267,8.001701031,0.004673343,0.995853392
ENSG00000293270.1,-1.562106355,-3.69459244,6.716334187,0.009553379,0.995853392
ENSG00000111335.14,-2.56988827,-4.097998084,4.544151317,0.033031393,0.995853392
ENSG00000202538.1,-1.377960656,-3.952118298,4.077638928,0.043454339,0.995853392
ENSG00000213137.3,-3.822986598,-4.81607264,6.643252318,0.009953207,0.995853392
ENSG00000279527.1,-3.544318955,-4.901936967,4.941082552,0.026225606,0.995853392
